Points_0,Points_1,Points_2,U_0,U_1,U_2,VectorGradient_0,VectorGradient_1,VectorGradient_2,VectorGradient_3,VectorGradient_4,VectorGradient_5,VectorGradient_6,VectorGradient_7,VectorGradient_8
-28.0208,0,1.03963,3.54753,0,0.0517824,-0.0735997,0,1.83462,0,0,0,0.00302777,0,0.0736354
-25.855,0,1.03963,3.3736,0,0.0585491,-0.0831659,0,1.77583,0,0,0,0.0034454,0,0.0830392
-23.8422,0,1.03963,3.19169,0,0.0656297,-0.0932467,0,1.71388,0,0,0,0.00384827,0,0.0929139
-21.9717,0,1.03963,3.00299,0,0.0728908,-0.103685,0,1.64881,0,0,0,0.00421008,0,0.103099
-20.2333,0,1.03963,2.80891,0,0.080171,-0.114284,0,1.5807,0,0,0,0.00450108,0,0.113399
-18.6177,0,1.03963,2.61112,0,0.0872896,-0.124815,0,1.5097,0,0,0,0.00469073,0,0.123587
-17.1164,0,1.03963,2.41144,0,0.0940577,-0.135035,0,1.43605,0,0,0,0.00475077,0,0.133422
-15.7211,0,1.03963,2.21179,0,0.100292,-0.14469,0,1.3601,0,0,0,0.00465926,0,0.142662
-14.4243,0,1.03963,2.01414,0,0.105831,-0.153549,0,1.2823,0,0,0,0.00440595,0,0.151085
-13.2193,0,1.03963,1.82034,0,0.11055,-0.161425,0,1.20317,0,0,0,0.00400114,0,0.158518
-12.0993,0,1.03963,1.63209,0,0.114389,-0.168203,0,1.12331,0,0,0,0.00349761,0,0.164872
-11.0585,0,1.03963,1.4508,0,0.117398,-0.173896,0,1.04338,0,0,0,0.00303953,0,0.170185
-10.0913,0,1.03963,1.27746,0,0.119834,-0.178708,0,0.96409,0,0,0,0.00293445,0,0.174669
-9.19237,0,1.03963,1.1125,0,0.122291,-0.183055,0,0.886365,0,0,0,0.00368004,0,0.178711
-8.35698,0,1.03963,0.955784,0,0.125748,-0.187526,0,0.811477,0,0,0,0.00577548,0,0.182802
-7.58061,0,1.03963,0.806635,0,0.131298,-0.192663,0,0.741057,0,0,0,0.00925574,0,0.187489
-6.85911,0,1.03963,0.664175,0,0.139576,-0.198919,0,0.676921,0,0,0,0.0135173,0,0.193334
-6.18859,0,1.03963,0.527385,0,0.150486,-0.206585,0,0.620783,0,0,0,0.0175392,0,0.200456
-5.56544,0,1.03963,0.395158,0,0.163039,-0.214949,0,0.573822,0,0,0,0.0196765,0,0.207918
-4.98633,0,1.03963,0.26757,0,0.175189,-0.221936,0,0.536487,0,0,0,0.0174785,0,0.213721
-4.44814,0,1.03963,0.146191,0,0.18377,-0.224656,0,0.508302,0,0,0,0.00823001,0,0.215263
-3.94798,0,1.03963,0.0338362,0,0.184895,-0.220089,0,0.487485,0,0,0,-0.0102369,0,0.209937
-3.48316,0,1.03963,-0.0660416,0,0.174684,-0.205913,0,0.470734,0,0,0,-0.0387629,0,0.195988
-3.05118,0,1.03963,-0.150209,0,0.150214,-0.181517,0,0.453616,0,0,0,-0.0760736,0,0.173345
-2.64973,0,1.03963,-0.216722,0,0.11061,-0.148428,0,0.431777,0,0,0,-0.118518,0,0.143672
-2.27664,0,1.03963,-0.265272,0,0.0574199,-0.109609,0,0.402589,0,0,0,-0.161051,0,0.109231
-1.92992,0,1.03963,-0.296851,0,-0.00613143,-0.0672353,0,0.365627,0,0,0,-0.199231,0,0.0714362
-1.6077,0,1.03963,-0.312867,0,-0.0763032,-0.021939,0,0.321846,0,0,0,-0.230362,0,0.0303386
-1.30824,0,1.03963,-0.314602,0,-0.149437,0.0266757,0,0.273179,0,0,0,-0.252998,0,-0.015574
-1.02994,0,1.03963,-0.302632,0,-0.222551,0.0815184,0,0.222153,0,0,0,-0.266793,0,-0.0703038
-0.771312,0,1.03963,-0.275926,0,-0.293933,0.145604,0,0.170925,0,0,0,-0.273166,0,-0.142056
-0.530955,0,1.03963,-0.233132,0,-0.363784,0.216212,0,0.120336,0,0,0,-0.269494,0,-0.246903
-0.307583,0,1.03963,-0.174144,0,-0.430446,0.314575,0,0.073557,0,0,0,-0.106537,0,-0.399082
-0.0999933,0,1.03963,-0.0891742,0,-0.414849,0.611096,0,0.0259582,0,0,0,2.02694,0,-0.243949
-96.3741,0,1.49027,6.00179,0,0.060497,-0.000486774,0,1.44495,0,0,0,0.00605184,0,0.00166251
-89.3784,0,1.49027,6.0038,0,0.0283882,-0.00749613,0,1.53372,0,0,0,-0.0034655,0,0.00733914
-82.877,0,1.49027,5.90798,0,0.013402,-0.0142616,0,1.58719,0,0,0,-0.00117045,0,0.0123551
-76.8351,0,1.49027,5.8214,0,0.0131345,-0.0134069,0,1.60323,0,0,0,0.000128165,0,0.0136356
-71.22,0,1.49027,5.74627,0,0.014529,-0.0138144,0,1.59805,0,0,0,0.000312176,0,0.0145212
-66.0017,0,1.49027,5.66786,0,0.016351,-0.0158354,0,1.58718,0,0,0,0.00045541,0,0.0162082
-61.1522,0,1.49027,5.58396,0,0.019025,-0.0183693,0,1.57495,0,0,0,0.000656535,0,0.0187106
-56.6453,0,1.49027,5.49334,0,0.0224062,-0.0214685,0,1.56157,0,0,0,0.000863079,0,0.0218569
-52.4568,0,1.49027,5.39462,0,0.0264263,-0.0252043,0,1.54705,0,0,0,0.00109601,0,0.0256213
-48.5644,0,1.49027,5.28691,0,0.0311434,-0.0295814,0,1.53142,0,0,0,0.00137559,0,0.0300385
-44.9469,0,1.49027,5.16957,0,0.0366199,-0.0346432,0,1.51467,0,0,0,0.00170841,0,0.0351528
-41.5851,0,1.49027,5.04206,0,0.0429099,-0.0404476,0,1.49677,0,0,0,0.0021002,0,0.0410134
-38.4609,0,1.49027,4.90397,0,0.0500625,-0.047043,0,1.47766,0,0,0,0.0025562,0,0.0476682
-35.5573,0,1.49027,4.75504,0,0.058113,-0.0544675,0,1.45727,0,0,0,0.00307859,0,0.0551557
-32.859,0,1.49027,4.59519,0,0.0670741,-0.062749,0,1.43551,0,0,0,0.00366535,0,0.0634988
-30.3513,0,1.49027,4.4245,0,0.0769277,-0.0718886,0,1.41224,0,0,0,0.00430889,0,0.0726983
-28.0208,0,1.49027,4.24332,0,0.0876166,-0.0818592,0,1.38729,0,0,0,0.00499447,0,0.082727
-25.855,0,1.49027,4.05219,0,0.0990376,-0.0926062,0,1.36046,0,0,0,0.00569898,0,0.0935226
-23.8422,0,1.49027,3.85194,0,0.111037,-0.104028,0,1.33152,0,0,0,0.00639036,0,0.104983
-21.9717,0,1.49027,3.64366,0,0.123409,-0.115982,0,1.30022,0,0,0,0.00702827,0,0.116963
